PassengerId,Survived,Pclass,Sex,Age,Embarked,Missing_Age,SharedTicket,TicketGroupSize,IndividualFare,Solo,DeckKnown
1,0,3,male,22.0,S,0,0,1,7.25,0,0
2,1,1,female,38.0,C,0,0,1,71.2833,0,1
3,1,3,female,26.0,S,0,0,1,7.925,1,0
4,1,1,female,35.0,S,0,1,2,26.55,0,1
5,0,3,male,35.0,S,0,0,1,8.05,1,0
6,0,3,male,,Q,1,0,1,8.4583,1,0
7,0,1,male,54.0,S,0,0,1,51.8625,1,1
8,0,3,male,2.0,S,0,1,4,5.26875,0,0
9,1,3,female,27.0,S,0,1,3,3.7111,0,0
10,1,2,female,14.0,C,0,1,2,15.0354,0,0
11,1,3,female,4.0,S,0,1,2,8.35,0,1
12,1,1,female,58.0,S,0,0,1,26.55,1,1
13,0,3,male,20.0,S,0,0,1,8.05,1,0
14,0,3,male,39.0,S,0,1,7,4.4678571428571425,0,0
15,0,3,female,14.0,S,0,0,1,7.8542,1,0
16,1,2,female,55.0,S,0,0,1,16.0,1,0
17,0,3,male,2.0,Q,0,1,5,5.825,0,0
18,1,2,male,,S,1,0,1,13.0,1,0
19,0,3,female,31.0,S,0,0,1,18.0,0,0
20,1,3,female,,C,1,0,1,7.225,1,0
21,0,2,male,35.0,S,0,1,2,13.0,0,0
22,1,2,male,34.0,S,0,0,1,13.0,1,1
23,1,3,female,15.0,Q,0,0,1,8.0292,1,0
24,1,1,male,28.0,S,0,0,1,35.5,1,1
25,0,3,female,8.0,S,0,1,4,5.26875,0,0
26,1,3,female,38.0,S,0,1,4,7.846875,0,0
27,0,3,male,,C,1,0,1,7.225,1,0
28,0,1,male,19.0,S,0,1,4,65.75,0,1
29,1,3,female,,Q,1,0,1,7.8792,1,0
30,0,3,male,,S,1,0,1,7.8958,1,0
31,0,1,male,40.0,C,0,0,1,27.7208,1,0
32,1,1,female,,C,1,1,2,73.2604,0,1
33,1,3,female,,Q,1,0,1,7.75,1,0
34,0,2,male,66.0,S,0,0,1,10.5,1,0
35,0,1,male,28.0,C,0,1,2,41.0854,0,0
36,0,1,male,42.0,S,0,1,2,26.0,0,0
37,1,3,male,,C,1,0,1,7.2292,1,0
38,0,3,male,21.0,S,0,0,1,8.05,1,0
39,0,3,female,18.0,S,0,1,2,9.0,0,0
40,1,3,female,14.0,C,0,1,2,5.62085,0,0
41,0,3,female,40.0,S,0,0,1,9.475,0,0
42,0,2,female,27.0,S,0,1,2,10.5,0,0
43,0,3,male,,C,1,0,1,7.8958,1,0
44,1,2,female,3.0,C,0,1,3,13.859733333333333,0,0
45,1,3,female,19.0,Q,0,0,1,7.8792,1,0
46,0,3,male,,S,1,0,1,8.05,1,0
47,0,3,male,,Q,1,0,1,15.5,0,0
48,1,3,female,,Q,1,0,1,7.75,1,0
49,0,3,male,,C,1,0,1,21.6792,0,0
50,0,3,female,18.0,S,0,1,2,8.9,0,0
51,0,3,male,7.0,S,0,1,6,6.614583333333333,0,0
52,0,3,male,21.0,S,0,0,1,7.8,1,0
53,1,1,female,49.0,C,0,1,3,25.576400000000003,0,1
54,1,2,female,29.0,S,0,0,1,26.0,0,0
55,0,1,male,65.0,C,0,0,1,61.9792,0,1
56,1,1,male,,S,1,0,1,35.5,1,1
57,1,2,female,21.0,S,0,0,1,10.5,1,0
58,0,3,male,28.5,C,0,0,1,7.2292,1,0
59,1,2,female,5.0,S,0,1,3,9.25,0,0
60,0,3,male,11.0,S,0,1,6,7.816666666666666,0,0
61,0,3,male,22.0,C,0,0,1,7.2292,1,0
62,1,1,female,38.0,S,0,1,2,40.0,0,1
63,0,1,male,45.0,S,0,1,2,41.7375,0,1
64,0,3,male,4.0,S,0,1,6,4.6499999999999995,0,0
65,0,1,male,,C,1,0,1,27.7208,1,0
66,1,3,male,,C,1,1,2,7.6229,0,0
67,1,2,female,29.0,S,0,0,1,10.5,1,1
68,0,3,male,19.0,S,0,0,1,8.1583,1,0
69,1,3,female,17.0,S,0,0,1,7.925,0,0
70,0,3,male,26.0,S,0,0,1,8.6625,0,0
71,0,2,male,32.0,S,0,0,1,10.5,1,0
72,0,3,female,16.0,S,0,1,6,7.816666666666666,0,0
73,0,2,male,21.0,S,0,1,5,14.7,0,0
74,0,3,male,26.0,C,0,0,1,14.4542,0,0
75,1,3,male,32.0,S,0,1,7,8.070828571428573,0,0
76,0,3,male,25.0,S,0,0,1,7.65,1,1
77,0,3,male,,S,1,0,1,7.8958,1,0
78,0,3,male,,S,1,0,1,8.05,1,0
79,1,2,male,0.83,S,0,1,2,14.5,0,0
80,1,3,female,30.0,S,0,1,2,6.2375,0,0
81,0,3,male,22.0,S,0,0,1,9.0,1,0
82,1,3,male,29.0,S,0,0,1,9.5,1,0
83,1,3,female,,Q,1,0,1,7.7875,1,0
84,0,1,male,28.0,S,0,0,1,47.1,1,0
85,1,2,female,17.0,S,0,0,1,10.5,1,0
86,1,3,female,33.0,S,0,1,2,7.925,0,0
87,0,3,male,16.0,S,0,1,4,8.59375,0,0
88,0,3,male,,S,1,0,1,8.05,1,0
89,1,1,female,23.0,S,0,1,4,65.75,0,1
90,0,3,male,24.0,S,0,0,1,8.05,1,0
91,0,3,male,29.0,S,0,0,1,8.05,1,0
92,0,3,male,20.0,S,0,0,1,7.8542,1,0
93,0,1,male,46.0,S,0,0,1,61.175,0,1
94,0,3,male,26.0,S,0,1,2,10.2875,0,0
95,0,3,male,59.0,S,0,0,1,7.25,1,0
96,0,3,male,,S,1,0,1,8.05,1,0
97,0,1,male,71.0,C,0,0,1,34.6542,1,1
98,1,1,male,23.0,C,0,0,1,63.3583,0,1
99,1,2,female,34.0,S,0,1,2,11.5,0,0
100,0,2,male,34.0,S,0,1,2,13.0,0,0
101,0,3,female,28.0,S,0,0,1,7.8958,1,0
102,0,3,male,,S,1,0,1,7.8958,1,0
103,0,1,male,21.0,S,0,1,2,38.64375,0,1
104,0,3,male,33.0,S,0,0,1,8.6542,1,0
105,0,3,male,37.0,S,0,0,1,7.925,0,0
106,0,3,male,28.0,S,0,0,1,7.8958,1,0
107,1,3,female,21.0,S,0,0,1,7.65,1,0
108,1,3,male,,S,1,0,1,7.775,1,0
